date,open,high,low,close,volume
2017-07-07,35.725,36.188,35.725,36.045,76806800
2017-07-10,36.028,36.487,35.842,36.265,84362400
2017-07-11,36.182,36.463,36.095,36.382,79127200
2017-07-12,36.467,36.545,36.205,36.435,99538000
2017-07-13,36.375,37.123,36.36,36.943,100797600
2017-07-14,36.993,37.333,36.833,37.26,80528400
2017-07-17,37.205,37.725,37.143,37.39,95174000
2017-07-18,37.3,37.533,37.167,37.52,71475200
2017-07-19,37.62,37.855,37.487,37.755,83692000
2017-07-20,37.875,37.935,37.548,37.585,68974800
2017-07-21,37.498,37.61,37.22,37.568,105010400
2017-07-24,37.645,38.11,37.475,38.022,85972800
2017-07-25,37.95,38.46,37.95,38.185,75415600
2017-07-26,38.338,38.482,38.265,38.365,63124000
2017-07-27,38.438,38.498,36.825,37.64,129905200
2017-07-28,37.472,37.557,37.298,37.375,68854800
2017-07-31,37.475,37.583,37.033,37.182,79383600
2017-08-01,37.275,37.555,37.103,37.513,141474400
2017-08-02,39.82,39.938,39.04,39.285,279747200
2017-08-03,39.263,39.303,38.755,38.893,108389200
2017-08-04,39.018,39.35,38.923,39.097,82239600
2017-08-07,39.265,39.73,39.167,39.702,87481200
2017-08-08,39.65,40.458,39.568,40.02,144823600
2017-08-09,39.815,40.318,39.778,40.265,104526000
2017-08-10,39.975,40.0,38.658,38.83,163217200
2017-08-11,39.15,39.643,39.018,39.37,105028400
2017-08-14,39.83,40.053,39.688,39.963,88490800
2017-08-15,40.165,40.55,40.035,40.4,117862000
2017-08-16,40.485,40.627,40.037,40.237,110686400
2017-08-17,40.13,40.178,39.46,39.465,111762400
2017-08-18,39.465,39.875,39.18,39.375,109712400
2017-08-21,39.375,39.472,38.778,39.303,105474000
2017-08-22,39.557,40.0,39.505,39.945,86418400
2017-08-23,39.768,40.118,39.72,39.995,77596400
2017-08-24,40.107,40.185,39.638,39.818,79275600
2017-08-25,39.912,40.14,39.818,39.965,101920400
2017-08-28,40.035,40.5,39.982,40.368,103864000
2017-08-29,40.025,40.78,40.0,40.728,118067600
2017-08-30,40.95,40.972,40.653,40.838,109078400
2017-08-31,40.91,41.13,40.87,41.0,107140400
2017-09-01,41.2,41.235,40.908,41.013,66364400
2017-09-05,40.938,41.062,40.14,40.52,117874000
2017-09-06,40.678,40.748,40.13,40.478,86606800
2017-09-07,40.522,40.56,40.09,40.315,87714000
2017-09-08,40.215,40.287,39.632,39.658,114446000
2017-09-11,40.125,40.513,39.972,40.375,126323200
2017-09-12,40.653,40.99,39.693,40.215,286856000
2017-09-13,39.967,39.99,39.478,39.912,179629600
2017-09-14,39.748,39.85,39.522,39.57,95042800
2017-09-15,39.618,40.243,39.5,39.97,196458400
2017-09-18,40.028,40.125,39.5,39.667,113077600
2017-09-19,39.877,39.943,39.61,39.682,83242400
2017-09-20,39.475,39.565,38.458,39.018,211805600
2017-09-21,38.95,38.95,38.188,38.347,150046800
2017-09-22,37.885,38.068,37.64,37.972,186581600
2017-09-25,37.498,37.958,37.29,37.638,177549200
2017-09-26,37.945,38.48,37.923,38.285,146640000
2017-09-27,38.45,38.68,38.385,38.557,102016800
2017-09-28,38.472,38.57,38.175,38.32,88022000
2017-09-29,38.303,38.533,38.0,38.53,105199200
2017-10-02,38.565,38.612,38.18,38.452,74795200
2017-10-03,38.502,38.772,38.478,38.62,64921200
2017-10-04,38.408,38.465,38.115,38.37,80655200
2017-10-05,38.545,38.86,38.513,38.847,85135200
2017-10-06,38.743,38.873,38.64,38.825,69630400
2017-10-09,38.952,39.182,38.873,38.96,65051600
2017-10-10,39.015,39.5,38.775,38.975,62468000
2017-10-11,38.993,39.245,38.938,39.138,67622400
2017-10-12,39.088,39.342,38.932,39.0,64500400
2017-10-13,39.182,39.32,39.103,39.248,65576800
2017-10-16,39.475,40.0,39.412,39.97,96486000
2017-10-17,39.945,40.217,39.807,40.118,75989200
2017-10-18,40.105,40.178,39.9,39.94,65496800
2017-10-19,39.188,39.27,38.755,38.995,170336800
2017-10-20,39.153,39.438,38.99,39.062,95896400
2017-10-23,39.222,39.423,38.875,39.042,87937200
2017-10-24,39.072,39.355,39.05,39.275,71028800
2017-10-25,39.228,39.388,38.818,39.103,84828400
2017-10-26,39.307,39.458,39.195,39.353,68002000
2017-10-27,39.822,40.9,39.675,40.763,177816800
2017-10-30,40.972,42.018,40.93,41.68,178803200
2017-10-31,41.975,42.412,41.735,42.26,144187200
2017-11-01,42.467,42.485,41.403,41.722,134551200
2017-11-02,41.65,42.125,41.32,42.028,165573600
2017-11-03,43.5,43.565,42.78,43.125,237594400
2017-11-06,43.092,43.748,42.93,43.562,140105200
2017-11-07,43.478,43.812,43.4,43.702,97446000
2017-11-08,43.665,44.06,43.583,44.06,97638000
2017-11-09,43.778,44.025,43.285,43.97,117930400
2017-11-10,43.778,43.845,43.568,43.667,100582000
2017-11-13,43.375,43.625,43.35,43.493,67928400
2017-11-14,43.26,43.37,42.795,42.835,99130000
2017-11-15,42.493,42.58,42.095,42.27,116632400
2017-11-16,42.795,42.967,42.575,42.775,94550000
2017-11-17,42.76,42.847,42.41,42.537,87598000
2017-11-20,42.572,42.64,42.39,42.495,65049600
2017-11-21,42.695,43.425,42.695,43.285,100525200
2017-11-22,43.34,43.75,43.263,43.74,102355600
2017-11-24,43.775,43.875,43.662,43.743,56106800
2017-11-27,43.763,43.77,43.335,43.522,82867200
2017-11-28,43.575,43.717,42.965,43.268,105715200
2017-11-29,43.158,43.23,41.79,42.37,166665600
2017-11-30,42.607,43.035,42.11,42.963,166108800
2017-12-01,42.487,42.917,42.125,42.763,159037200
2017-12-04,43.12,43.155,42.408,42.45,130169600
2017-12-05,42.265,42.88,42.1,42.41,109400800
2017-12-06,41.875,42.55,41.615,42.252,114240000
2017-12-07,42.257,42.61,42.228,42.33,102693200
2017-12-08,42.623,42.75,42.205,42.342,93420800
2017-12-11,42.3,43.222,42.197,43.167,141095200
2017-12-12,43.037,43.097,42.865,42.925,77636800
2017-12-13,43.125,43.385,43.0,43.068,95273600
2017-12-14,43.1,43.283,42.912,43.055,81906000
2017-12-15,43.408,43.542,43.115,43.493,160677200
2017-12-18,43.72,44.3,43.715,44.105,117684400
2017-12-19,43.757,43.847,43.522,43.635,109745600
2017-12-20,43.717,43.855,43.312,43.588,93902400
2017-12-21,43.542,44.005,43.525,43.752,83799600
2017-12-22,43.67,43.855,43.625,43.752,65397600
2017-12-26,42.7,42.868,42.42,42.643,132742000
2017-12-27,42.525,42.695,42.428,42.65,85992800
2017-12-28,42.75,42.963,42.62,42.77,65920800
2017-12-29,42.63,42.647,42.305,42.307,103999600
2018-01-02,42.54,43.075,42.315,43.065,102223600
2018-01-03,43.132,43.638,42.99,43.057,118071600
2018-01-04,43.135,43.368,43.02,43.257,89738400
2018-01-05,43.36,43.842,43.263,43.75,94640000
2018-01-08,43.588,43.903,43.482,43.588,82271200
2018-01-09,43.638,43.765,43.353,43.583,86336000
2018-01-10,43.29,43.575,43.25,43.572,95839600
2018-01-11,43.647,43.873,43.623,43.82,74670800
2018-01-12,44.045,44.34,43.912,44.272,101672400
2018-01-16,44.475,44.847,44.035,44.048,118263600
2018-01-17,44.037,44.812,43.768,44.775,137547200
2018-01-18,44.842,45.025,44.562,44.815,124773600
2018-01-19,44.653,44.895,44.353,44.615,129700400
2018-01-22,44.325,44.445,44.15,44.25,108434400
2018-01-23,44.325,44.86,44.205,44.26,130756400
2018-01-24,44.312,44.325,43.3,43.555,204420400
2018-01-25,43.627,43.737,42.632,42.778,166116000
2018-01-26,43.0,43.0,42.515,42.877,156572000
2018-01-29,42.54,42.54,41.768,41.99,202561600
2018-01-30,41.382,41.842,41.175,41.743,184192800
2018-01-31,41.717,42.11,41.625,41.857,129915600
2018-02-01,41.792,42.155,41.69,41.945,188923200
2018-02-02,41.5,41.7,40.025,40.125,346375200
2018-02-05,39.775,40.97,39.0,39.123,290954000
2018-02-06,38.708,40.93,38.5,40.757,272975200
2018-02-07,40.772,40.85,39.768,39.885,206434400
2018-02-08,40.072,40.25,38.757,38.787,217562000
2018-02-09,39.268,39.472,37.56,39.103,282690400
2018-02-12,39.625,40.972,39.377,40.678,243278000
2018-02-13,40.487,41.188,40.412,41.085,130196800
2018-02-14,40.76,41.885,40.72,41.842,162579600
2018-02-15,42.447,43.272,42.25,43.248,204588800
2018-02-16,43.09,43.705,42.943,43.107,160704400
2018-02-20,43.013,43.565,42.855,42.963,135722000
2018-02-21,43.208,43.53,42.752,42.768,149886400
2018-02-22,42.95,43.487,42.928,43.125,123967600
2018-02-23,43.417,43.912,43.385,43.875,135249600
2018-02-26,44.088,44.847,44.053,44.743,152648800
2018-02-27,44.775,45.12,44.54,44.597,155712400
2018-02-28,44.815,45.155,44.513,44.53,151128400
2018-03-01,44.635,44.945,43.165,43.75,195208000
2018-03-02,43.2,44.075,43.112,44.053,153816000
2018-03-05,43.803,44.435,43.63,44.205,113605600
2018-03-06,44.478,44.562,44.033,44.167,95154000
2018-03-07,43.735,43.963,43.568,43.757,126814000
2018-03-08,43.87,44.28,43.768,44.235,95096400
2018-03-09,44.49,45.0,44.347,44.995,128740800
2018-03-12,45.072,45.597,45.053,45.43,128828400
2018-03-13,45.647,45.875,44.81,44.993,126774000
2018-03-14,45.08,45.13,44.452,44.61,117473600
2018-03-15,44.625,45.06,44.518,44.662,90975200
2018-03-16,44.662,44.78,44.405,44.505,157618800
2018-03-19,44.33,44.368,43.415,43.825,133787200
2018-03-20,43.81,44.2,43.735,43.81,78597600
2018-03-21,43.76,43.772,42.815,42.818,148219600
2018-03-22,42.5,43.17,42.15,42.213,165963200
2018-03-23,42.097,42.48,41.235,41.235,164115200
